"x"
"porque luego sale mas caro y dificil y pierdes tiempo                                                                                                                                                                                                          "
"por drsconfianza no tiene mucho tiempo dando servicio                                                                                                                                                                                                          "
"no lo conozco ni me da confianza perder mi dinero                                                                                                                                                                                                              "
"no tiene muchas sucursales                                                                                                                                                                                                                                     "
"no sabia que existia tenia emtendido que era como elektra                                                                                                                                                                                                      "
"porque no le gusta la tarjeta que dan ahi                                                                                                                                                                                                                      "
"Porque todos los bancos le suben demásiado a los intereses, y eso practicamente es dinero regalado que les estoy dando                                                                                                                                        "
"Porque ese banco no hay en el lugar donde vivo, por lo tanto no conosco mucho sobre la tasa de interes que maneja                                                                                                                                              "
"Porque tiene intereses altos y está lejos                                                                                                                                                                                                                     "
"Porque no hay uno cercano                                                                                                                                                                                                                                      "
"no conozco y siento que no vale la pena                                                                                                                                                                                                                        "
"porque te cobran mucho, no me satisface, ni me es atractiva                                                                                                                                                                                                    "
"Cre que su tasa de intereses es muy alta                                                                                                                                                                                                                       "
"No seme hace un Banco muy fuerte                                                                                                                                                                                                                               "
"Pues la verdad no conozco nada de este banco y me daría desconfianza hacerlo.                                                                                                                                                                                 "
"No me.interesa los prestamos                                                                                                                                                                                                                                   "
"porque una vez pedi y me dieron un prestamo y cobran mucho mucho más y es muy caro y jamás lo volveria a pedir                                                                                                                                               "
"porque no me convence su tasa de interes                                                                                                                                                                                                                       "
"no se me hace confiable                                                                                                                                                                                                                                        "
"No me gusta sus servicios                                                                                                                                                                                                                                      "
"Por experiencias que escuchado, no tienen tolerancia en la fecha de pago y esto conlleva a pagar comisiones e intereses muy elevados.                                                                                                                          "
