FRASEO,P12a_COD1,P12a_COD2
por que no tiene la solides De un banco                                                                                                                                                                                                                        ,NO ME DA CONFIANZA,
tiene muy alto los intereses aparte no me convence mucho no son de los tradicionales                                                                                                                                                                           ,LOS INTERESES SON ALTOS,
desconosco los bancos                                                                                                                                                                                                                                          ,FALTA INFORMACIÓN DEL BANCO,
es un banco muy informal y elitista por todo cobran intereses y comision                                                                                                                                                                                       ,COBRAN MUCHAS COMISIONES,
un conocido quiso pedir un prestamo y no se lo dieron que no cubria los requisitos desconosco los requisitos pero tenemos el mismo estatus de vida                                                                                                             ,PIDEN MUCHOS REQUISITOS,
por los intereses                                                                                                                                                                                                                                              ,LOS INTERESES SON ALTOS,
por que ya lo pedi una vez y no me lo otorgaron por mi sueldo                                                                                                                                                                                                  ,PIDEN MUCHOS REQUISITOS,
pense que ya ni existia consecuencia de una mala publicidad                                                                                                                                                                                                    ,FALTA INFORMACIÓN DEL BANCO,
siento que funciona mejor como tienda que como banco                                                                                                                                                                                                           ,NO ME DA CONFIANZA,
No conozco los créditos que otorgan los bancos.                                                                                                                                                                                                               ,FALTA INFORMACIÓN DEL BANCO,
Por que comprar a crédito es caro.                                                                                                                                                                                                                            ,LOS INTERESES SON ALTOS,
En ninguno.                                                                                                                                                                                                                                                    ,NO ME INTERESA UN CRÉDITO,
Por es muy caro comprar a crédito.                                                                                                                                                                                                                            ,LOS INTERESES SON ALTOS,
Porque siempre esta lleno los cajeros y ventanillas de la sucursal cercana a mi domicilio.                                                                                                                                                                     ,MALA ATENCIÓN Y SERVICIO,
Por que es de baja categoria.                                                                                                                                                                                                                                  ,NO CUBRE MIS NECESIDADES,
dicen que te cobran de mas  si no pagas a tiempo                                                                                                                                                                                                               ,LOS INTERESES SON ALTOS,
porque no me gusta deber                                                                                                                                                                                                                                       ,NO ME INTERESA UN CRÉDITO,
tasa de anualidad son altas                                                                                                                                                                                                                                    ,LOS INTERESES SON ALTOS,
por que es un banco de prestigio y solo van las personas de empresas                                                                                                                                                                                           ,ES UN BANCO PARA GENTE RICA,
cobran comiones obligatorias y anualidades altas                                                                                                                                                                                                               ,LOS INTERESES SON ALTOS,
su atencion de clientes cuando  iba al banco a pagar mi colegiatura es muy mala. vio un letrero que la anualidad es muy alta                                                                                                                                   ,MALA ATENCIÓN Y SERVICIO,
no me da confianza. pagas mas lo que dice que debes pagar                                                                                                                                                                                                      ,NO ME DA CONFIANZA,LOS INTERESES SON ALTOS
tengo amigos que me dicen que suele ser muy poco íntegro y que tiene mala atencion                                                                                                                                                                            ,MALA ATENCIÓN Y SERVICIO,
...                                                                                                                                                                                                                                                            ,NO SABE/NO CONTESTO,
ya tuve uno y suelen ser muy molestos                                                                                                                                                                                                                          ,MALA ATENCIÓN Y SERVICIO,
esta muy al pendiente de sus deudores y milesta                                                                                                                                                                                                                ,MALA ATENCIÓN Y SERVICIO,
la verdad no tengo un motivo pero me lo pides                                                                                                                                                                                                                  ,NO SABE/NO CONTESTO,
No me molestaría pedirlo en ninguno                                                                                                                                                                                                                           ,"NO TENGO PROBLEMA, SI LO SOLICITARIA",
Porque los intereses son demásiado altos                                                                                                                                                                                                                      ,LOS INTERESES SON ALTOS,
"No me agrada sacar prestamos en ningun lado,mucho menos que sea un banco, ya que cobran muchos intereses                                                                                                                                                       ",LOS INTERESES SON ALTOS,
"principalmente no cuento con una tarjeta, y a lo que he eh escuchado es un banco con alta taza de interes anual                                                                                                                                                ",LOS INTERESES SON ALTOS,
interea mensual muy elebado                                                                                                                                                                                                                                    ,LOS INTERESES SON ALTOS,
cobram muchos intereses                                                                                                                                                                                                                                        ,LOS INTERESES SON ALTOS,
todo mundo le debe a coopel y tardar mucho para pagar me supongo que an de tener un interes alto                                                                                                                                                               ,LOS INTERESES SON ALTOS,
"me han dicho que son puros problemas con ellos, bueno creo que en caso de que se les deba dinero y no pagues                                                                                                                                                   ",ME HAN DADO MALAS REFERENCIAS DEL BANCO,
son abusivos y cobran de mas                                                                                                                                                                                                                                   ,LOS INTERESES SON ALTOS,
"no me da confianza pagar en abonos, terminas pagando casi el doble de lo que cuesta                                                                                                                                                                            ",NO ME DA CONFIANZA,LOS INTERESES SON ALTOS
porque te llenas de deudas e intereses                                                                                                                                                                                                                         ,LOS INTERESES SON ALTOS,
"no sabia que tenían banco, pensé que solo era muebles y electrónica                                                                                                                                                                                         ",NO SABE/NO CONTESTO,
cobran muchos intereses mensuales                                                                                                                                                                                                                              ,LOS INTERESES SON ALTOS,
porque no tienes muy buenas prestaciones y los abonos mensuales son muy altos                                                                                                                                                                                  ,LOS INTERESES SON ALTOS,
no es de confianza                                                                                                                                                                                                                                             ,NO ME DA CONFIANZA,
son muy cara las mensualidades                                                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
no me convense el monto a pagar                                                                                                                                                                                                                                ,LOS INTERESES SON ALTOS,
por que mi madre quedo debiendo entonces no creo que me lo acepten                                                                                                                                                                                             ,NO SOY SUJETO DE CRÉDITO,
no quiere tener creditos                                                                                                                                                                                                                                       ,NO ME INTERESA UN CRÉDITO,
no hay muchas sucursales                                                                                                                                                                                                                                       ,TIENE POCAS SUCURSALES/CAJEROS,
comenta que una vez pidió un préstamo y fue muy tardada la aprobación y todavía le querían cobrar mucho interés por tan poco que pidió                                                                                                                  ,LOS INTERESES SON ALTOS,
porque cobran muchos intereses                                                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
casí no hay                                                                                                                                                                                                                                                   ,TIENE POCAS SUCURSALES/CAJEROS,
"piden muchos requisitos para poder tener un crédito, y paga uno mucho de interes                                                                                                                                                                              ",PIDEN MUCHOS REQUISITOS,LOS INTERESES SON ALTOS
por que su hijo tuvo muchos problemas con ese banco y no lo atendían bien                                                                                                                                                                                     ,MALA ATENCIÓN Y SERVICIO,
no me dan crédito porque no tengo como comprobar ingresos                                                                                                                                                                                                     ,NO SOY SUJETO DE CRÉDITO,
por que jamas me ha gustado ese banco siento que no es fuerte                                                                                                                                                                                                  ,NO ME INTERESA UN CRÉDITO,
por que tienes interéses altos                                                                                                                                                                                                                                ,LOS INTERESES SON ALTOS,
por que no tiene muchos bancos y sus amigos han tenido problemas con ese banco                                                                                                                                                                                 ,TIENE POCAS SUCURSALES/CAJEROS,
intetes                                                                                                                                                                                                                                                        ,LOS INTERESES SON ALTOS,
no hay cerca del hogar                                                                                                                                                                                                                                         ,TIENE POCAS SUCURSALES/CAJEROS,
siento que piden muchos requisitos y no puedo cubrirlos                                                                                                                                                                                                        ,PIDEN MUCHOS REQUISITOS,
por que no me gusta mucho las intalciones                                                                                                                                                                                                                      ,NO ME GUSTA EL BANCO,
estoy en buró de crédito con ellos                                                                                                                                                                                                                           ,NO SOY SUJETO DE CRÉDITO,
por altos intereses                                                                                                                                                                                                                                            ,LOS INTERESES SON ALTOS,
por que son lugares donde abusan de la gente con sus préstamos les cobran casi el doble                                                                                                                                                                       ,LOS INTERESES SON ALTOS,
estoy en buró de credito                                                                                                                                                                                                                                      ,NO SOY SUJETO DE CRÉDITO,
Me entere por un familiar que es muy caro ese banco                                                                                                                                                                                                            ,LOS INTERESES SON ALTOS,
por que no le da confianza los préstamos no nadamas en es banco si no en todos y no quiere quedar en buró                                                                                                                                                    ,NO ME DA CONFIANZA,
porque he escuchado que es un banco muy caro                                                                                                                                                                                                                   ,LOS INTERESES SON ALTOS,
costos muy elebados en los prestamos                                                                                                                                                                                                                           ,LOS INTERESES SON ALTOS,
se que es un banco caro                                                                                                                                                                                                                                        ,LOS INTERESES SON ALTOS,
una vez saque una recámara y me cobraron mucho y sentia qué me cobraron muchos interés                                                                                                                                                                      ,LOS INTERESES SON ALTOS,
tiene un Interes muy alto                                                                                                                                                                                                                                      ,LOS INTERESES SON ALTOS,
muy difícil sacar el crédito                                                                                                                                                                                                                                 ,PIDEN MUCHOS REQUISITOS,
Mi mamá tuvo problemás en ese banco y pues nos dejó mal sabor de boca                                                                                                                                                                                       ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,
Porque los intereses son elevados y de pierde con los tramites                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
No me gustan los bancos no me dan confianza                                                                                                                                                                                                                    ,NO ME DA CONFIANZA,
No soy afín de créditos y menos en elektra                                                                                                                                                                                                                   ,NO ME INTERESA UN CRÉDITO,
Pues cuando yo trabajaba en el restaurante me pagaban con tarjeta de ahí y nunca me gustó                                                                                                                                                                    ,NO ME GUSTA EL BANCO,
No pues en ninguno porque fíjese que cuando necesitaba el dinero que le platique fui a el bancomer y piden harta cosa                                                                                                                                         ,PIDEN MUCHOS REQUISITOS,
"tuve crédito ahí y me costó una eternidad pagarlo y una vez me atrase y pues ya me andaban embargando mi casa, no jamás vuelvo a hacer esa tontería                                                                                                       ",LOS INTERESES SON ALTOS,
Me han ofrecido préstamos y que me van descontando de la quincena pero no confío en los bancos                                                                                                                                                               ,NO ME DA CONFIANZA,
"No me gustaría meterme en problemás con créditos ahorita, si apenas me alcanza para vivir imagínese si tuviera un gasto más                                                                                                                               ",NO ME INTERESA UN CRÉDITO,
una vez fui a banco hsbc y me dijeron que me podrian dar un prestamo pero tenia que pagar y tambien una cantidad alta y no me convenia                                                                                                                         ,LOS INTERESES SON ALTOS,
te piden mucho para tramitar un préstamo                                                                                                                                                                                                                      ,PIDEN MUCHOS REQUISITOS,
por los elevados intereses                                                                                                                                                                                                                                     ,LOS INTERESES SON ALTOS,
equivocación                                                                                                                                                                                                                                                  ,NO ME GUSTA EL BANCO,
tuve un préstamo y me venian a cobrar seguido iba al corriente pero le decian que debia y siempre tenía que enseñar el recibo de pago                                                                                                                       ,MALA ATENCIÓN Y SERVICIO,
siempre hay mucha gente y te piden mucha documentación                                                                                                                                                                                                        ,MALA ATENCIÓN Y SERVICIO,PIDEN MUCHOS REQUISITOS
porque es muchoo lo que cobran y por maa qie pagas jamasss termimas                                                                                                                                                                                            ,LOS INTERESES SON ALTOS,
estoy en buró de crédito                                                                                                                                                                                                                                     ,NO SOY SUJETO DE CRÉDITO,
no me son de mucho agrado sus tasas d interes                                                                                                                                                                                                                  ,LOS INTERESES SON ALTOS,
porque cobran muchos intereses si no se paga a tiempo                                                                                                                                                                                                          ,LOS INTERESES SON ALTOS,
su tasa de interes es alta y cobran muchas comisiones                                                                                                                                                                                                          ,COBRAN MUCHAS COMISIONES,LOS INTERESES SON ALTOS
te cobran muchos intereses mensualmente                                                                                                                                                                                                                        ,LOS INTERESES SON ALTOS,
no me dan confianza y los muebles son ma caros                                                                                                                                                                                                                 ,NO ME DA CONFIANZA,
porque no es muy conocido y pede desaparecer rapido                                                                                                                                                                                                            ,FALTA INFORMACIÓN DEL BANCO,NO ME DA CONFIANZA
ya estoy grande para solicitar prestmos                                                                                                                                                                                                                        ,NO SOY SUJETO DE CRÉDITO,
tardan mucho                                                                                                                                                                                                                                                   ,MALA ATENCIÓN Y SERVICIO,
"no me da confianza, creo son muy recientes                                                                                                                                                                                                                     ",NO ME DA CONFIANZA,
porque dicen que si no pagas a tiempo te dan mucha lata hable y hable                                                                                                                                                                                          ,LOS INTERESES SON ALTOS,
pues mi cuñado sigue debiendo y no termina de pagar intereses                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
no hay muchas sucursales por donde vivo y prefiero algo cerca                                                                                                                                                                                                  ,TIENE POCAS SUCURSALES/CAJEROS,
nunca  terminas es lo que me han dicho                                                                                                                                                                                                                         ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,LOS INTERESES SON ALTOS
porque me enteré en la s noticias que lavo dinero con el Chapo guzman y eso me genera desconfianza                                                                                                                                                            ,NO ME DA CONFIANZA,
porque te da facilidades de pago y no te cobra muchos intereses                                                                                                                                                                                                ,LOS INTERESES SON ALTOS,
porque se me hace malo y sus anuncios de la televisión no se me hacen sanos                                                                                                                                                                                   ,NO ME GUSTA EL BANCO,
es caro el interes y mala atencion                                                                                                                                                                                                                             ,LOS INTERESES SON ALTOS,MALA ATENCIÓN Y SERVICIO
No le gusta el trato.                                                                                                                                                                                                                                          ,MALA ATENCIÓN Y SERVICIO,
Nunca lo solicitaria ahi porque ese banco no hay en coita                                                                                                                                                                                                      ,TIENE POCAS SUCURSALES/CAJEROS,
"ninguno, porque no me gustan los bancos                                                                                                                                                                                                                        ",NO ME INTERESA UN CRÉDITO,
"Porque los pagos semanales, y yo cobro quincenal, el plazo es muy chico                                                                                                                                                                                        ",POR LOS PLAZOS Y FRECUENCIA DE PAGOS,
Porque los intereses son altos                                                                                                                                                                                                                                 ,LOS INTERESES SON ALTOS,
porque los plazos para pagar son demadiado largos                                                                                                                                                                                                              ,POR LOS PLAZOS Y FRECUENCIA DE PAGOS,
"los interes son diarios, y se viene pagando 3 veces más el precio del producto                                                                                                                                                                                ",LOS INTERESES SON ALTOS,
por que tiene muy mal servicio y nunca areglan los problemas                                                                                                                                                                                                   ,MALA ATENCIÓN Y SERVICIO,
por que jamas me ha gustado este banco no me trasmite confianza                                                                                                                                                                                                ,NO ME DA CONFIANZA,
los cajeros avaces fallan y faltan muchos                                                                                                                                                                                                                      ,TIENE POCAS SUCURSALES/CAJEROS,
le han dicho que es un banco muy caro en los intereses tienes que pagar el doble de lo que pediste prestado                                                                                                                                                    ,LOS INTERESES SON ALTOS,
no tenemos sucursal en coita es más creo que no en chiapaa así que no habria posibilidad de solicitarlo                                                                                                                                                      ,TIENE POCAS SUCURSALES/CAJEROS,
en una ocasíon fui a comprar y se dio una situacion con la vendedora que termino insultandome y casí dandome de golpes con eso se ganaron que no vuelva jamás                                                                                               ,MALA ATENCIÓN Y SERVICIO,
no tengo muchos gastos ni la necesidad quizas por.algúna emergencia pero no necesito x ahora                                                                                                                                                                  ,NO ME INTERESA UN CRÉDITO,
personas muy groseras para cobrar y muy mal capacitadas tardan en atender yni ellos saben lo que dicen no te sacan de ningun apuro me.paso en varias ocasíones hasta que decidi ya no tenrr más credito ahi                                                  ,MALA ATENCIÓN Y SERVICIO,
la verdad no se                                                                                                                                                                                                                                                ,NO SABE/NO CONTESTO,
real mente no cuento conn una tarjeta de dicho banco                                                                                                                                                                                                           ,NO SOY SUJETO DE CRÉDITO,
"por que te roba mucho , terminas de pagar y según ellos todavía no has terminado                                                                                                                                                                             ",LOS INTERESES SON ALTOS,
no tenemos aca y queda a 1 hora y aparte el pasaje es mucho gasto me queda más cerca elektra y me conviene más                                                                                                                                               ,TIENE POCAS SUCURSALES/CAJEROS,
no tengo ninguna mala experienci hasta ahora quizas en uno qur me cobre muchos intereses                                                                                                                                                                       ,LOS INTERESES SON ALTOS,
me mandaron a buró y ya no puedo tener credito en nignun lado y fue por 200 pesos es una mentada                                                                                                                                                              ,NO SOY SUJETO DE CRÉDITO,
creo que me iria por bancos con los que estoy mas falilearisada                                                                                                                                                                                                ,NO ME DA CONFIANZA,
nunca dije que no                                                                                                                                                                                                                                              ,NO SABE/NO CONTESTO,
dice que ostigan mucho a la gente con tanta llamada                                                                                                                                                                                                            ,MALA ATENCIÓN Y SERVICIO,
por su gran interés y largas filas                                                                                                                                                                                                                            ,LOS INTERESES SON ALTOS,MALA ATENCIÓN Y SERVICIO
son muy molestos hablan mucho por teléfono                                                                                                                                                                                                                    ,MALA ATENCIÓN Y SERVICIO,
desconozco su tasa de interes                                                                                                                                                                                                                                  ,LOS INTERESES SON ALTOS,
mucha taza de interes                                                                                                                                                                                                                                          ,LOS INTERESES SON ALTOS,
los intereses son altos                                                                                                                                                                                                                                        ,LOS INTERESES SON ALTOS,
"todos joden con los intereses, ni a cual irle                                                                                                                                                                                                                  ",LOS INTERESES SON ALTOS,
piden comprobante de ingresos de mucho tiempo y a mi no me dan comprobante de pagos                                                                                                                                                                            ,PIDEN MUCHOS REQUISITOS,
siempre esta lleno o son muy tardados los tramites                                                                                                                                                                                                             ,MALA ATENCIÓN Y SERVICIO,
por los intereses son altos                                                                                                                                                                                                                                    ,LOS INTERESES SON ALTOS,
porque esta bien con su banco                                                                                                                                                                                                                                  ,NO ME INTERESA UN CRÉDITO,
porque piensa que su tasa de interés es de másiada                                                                                                                                                                                                           ,LOS INTERESES SON ALTOS,
porque no hay una sucursal en el municipio                                                                                                                                                                                                                     ,TIENE POCAS SUCURSALES/CAJEROS,
comenta que no ofrecen buenas por prestaciones y que siempre cobran de más                                                                                                                                                                                    ,LOS INTERESES SON ALTOS,
son difíciles de pagar y si por uno no paga te afectan y ya no puedes pedir en ningun lado                                                                                                                                                                    ,LOS INTERESES SON ALTOS,
por que tiene la tasa de interés muy alta                                                                                                                                                                                                                     ,LOS INTERESES SON ALTOS,
por que no se me hace un banco muy fuerte supongo fe los mejores                                                                                                                                                                                               ,NO ME DA CONFIANZA,
por que tiene muy pocos bancos y no tengo ninguno cerca                                                                                                                                                                                                        ,TIENE POCAS SUCURSALES/CAJEROS,
por que tiene los intereses muy altos unos de los mayores                                                                                                                                                                                                      ,LOS INTERESES SON ALTOS,
por recomendación                                                                                                                                                                                                                                             ,ME HAN DADO MALAS REFERENCIAS DEL BANCO,
No es un banco confiable                                                                                                                                                                                                                                       ,NO ME DA CONFIANZA,
No conoce el bsnco                                                                                                                                                                                                                                             ,FALTA INFORMACIÓN DEL BANCO,
Son sumamente altos los intereses y un mal trato al cliente                                                                                                                                                                                                    ,LOS INTERESES SON ALTOS,MALA ATENCIÓN Y SERVICIO
"Por el tipo de intereses que manejan, son muy altos                                                                                                                                                                                                            ",LOS INTERESES SON ALTOS,
Tiene muy mala experiencia de ese banco                                                                                                                                                                                                                        ,MALA ATENCIÓN Y SERVICIO,
Es un banco con muy mal servício                                                                                                                                                                                                                              ,MALA ATENCIÓN Y SERVICIO,
No conoce ese  banco                                                                                                                                                                                                                                           ,FALTA INFORMACIÓN DEL BANCO,
no me gustaa el servicio que te brindan                                                                                                                                                                                                                        ,MALA ATENCIÓN Y SERVICIO,
"es un banco que cobra mucho interes, y no son amables con los clientes                                                                                                                                                                                         ",LOS INTERESES SON ALTOS,MALA ATENCIÓN Y SERVICIO
"muy altos los interés, es el 20%                                                                                                                                                                                                                              ",LOS INTERESES SON ALTOS,
