"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41"
"1","Genero","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct"
"59","P12","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct"
"60","Sí","557","51.6","237","55.1","320","49.2","0","NaN","172","48.5","160","49.5","127","52.9","72","60.5","26","60.5","0","NaN","31","16.4","138","36.6","184","67.2","204","85","88","36.5","101","63.1","51","32.1","113","69.3","88","51.2","116","62.7"
"61","No","404","37.4","163","37.9","241","37.1","0","NaN","135","38","128","39.6","89","37.1","38","31.9","14","32.6","0","NaN","143","75.7","200","53.1","44","16.1","17","7.1","96","39.8","51","31.9","77","48.4","50","30.7","71","41.3","59","31.9"
"62","Total","1080","100","430","100","650","100","0","NaN","355","100","323","100","240","100","119","100","43","100","0","NaN","189","100","377","100","274","100","240","100","241","100","160","100","159","100","163","100","172","100","185","100"
"63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64","P14","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct"
"65","Uniparental","142","13.1","74","17.2","68","10.5","0","NaN","41","11.5","52","16.1","26","10.8","16","13.4","7","16.3","0","NaN","14","7.4","51","13.5","40","14.6","37","15.4","31","12.9","22","13.8","7","4.4","32","19.6","17","9.9","33","17.8"
"66","Pareja joven sin hijo","66","6.1","24","5.6","42","6.5","0","NaN","24","6.8","19","5.9","13","5.4","9","7.6","1","2.3","0","NaN","10","5.3","35","9.3","17","6.2","4","1.7","14","5.8","10","6.2","11","6.9","6","3.7","17","9.9","8","4.3"
"67","Unipersonal","239","22.1","91","21.2","148","22.8","0","NaN","74","20.8","86","26.6","53","22.1","22","18.5","4","9.3","0","NaN","60","31.7","99","26.3","37","13.5","43","17.9","40","16.6","35","21.9","60","37.7","39","23.9","27","15.7","38","20.5"
"68","Parejas con hijos y otros parientes","65","6","25","5.8","40","6.2","0","NaN","13","3.7","14","4.3","28","11.7","9","7.6","1","2.3","0","NaN","13","6.9","27","7.2","15","5.5","10","4.2","6","2.5","8","5","1","0.6","25","15.3","21","12.2","4","2.2"
"69","Parejas jóvenes con hijos","153","14.2","61","14.2","92","14.2","0","NaN","45","12.7","40","12.4","36","15","17","14.3","15","34.9","0","NaN","21","11.1","74","19.6","50","18.2","8","3.3","15","6.2","25","15.6","7","4.4","28","17.2","16","9.3","62","33.5"
"70","Parejas maduras con hijos","296","27.4","125","29.1","171","26.3","0","NaN","110","31","77","23.8","60","25","37","31.1","12","27.9","0","NaN","56","29.6","52","13.8","69","25.2","119","49.6","78","32.4","52","32.5","42","26.4","33","20.2","61","35.5","30","16.2"
"71","Total","1080","100","430","100","650","100","0","NaN","355","100","323","100","240","100","119","100","43","100","0","NaN","189","100","377","100","274","100","240","100","241","100","160","100","159","100","163","100","172","100","185","100"
"72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
